"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Jan 29, 2026",26282.50,26296.00,25536.00,25999.25,25999.25,699097
"Jan 28, 2026",26111.25,26349.00,25993.25,26156.25,26156.25,511937
"Jan 27, 2026",25861.25,26118.00,25838.50,26073.00,26073.00,429460
"Jan 26, 2026",25585.50,25936.50,25365.25,25848.50,25848.50,450290
"Jan 23, 2026",25605.00,25845.75,25540.25,25738.25,25738.25,504901
"Jan 22, 2026",25529.50,25739.75,25483.75,25658.25,25658.25,533607
"Jan 21, 2026",25149.50,25653.50,25025.00,25471.00,25471.00,810753
"Jan 20, 2026",25471.00,25472.00,25095.25,25129.25,25129.25,864568
"Jan 16, 2026",25720.50,25891.00,25591.50,25689.00,25689.00,490573
"Jan 15, 2026",25593.00,25952.75,25562.50,25705.75,25705.75,591058
"Jan 14, 2026",25900.75,25925.75,25420.75,25631.00,25631.00,647871
"Jan 13, 2026",25953.50,26045.50,25803.25,25906.00,25906.00,560438
"Jan 12, 2026",25949.00,26020.50,25632.75,25956.75,25956.75,452996
"Jan 09, 2026",25725.00,25985.50,25615.50,25938.25,25938.25,509669
"Jan 08, 2026",25838.75,25849.75,25569.00,25687.50,25687.50,510805
"Jan 07, 2026",25831.25,25996.25,25727.00,25838.75,25838.75,477861
"Jan 06, 2026",25583.00,25837.75,25527.50,25822.00,25822.00,445573
"Jan 05, 2026",25431.75,25708.00,25406.50,25577.75,25577.75,461305
"Jan 02, 2026",25478.50,25803.75,25265.25,25385.25,25385.25,554838
"Dec 31, 2025",25683.25,25716.75,25429.00,25456.75,25456.75,329352
"Dec 30, 2025",25740.00,25793.75,25668.25,25675.25,25675.25,300558
"Dec 29, 2025",25863.25,25893.75,25648.00,25739.75,25739.75,347055
"Dec 26, 2025",25868.00,25935.25,25834.25,25863.25,25863.25,240485
"Dec 24, 2025",25815.75,25892.00,25777.50,25880.50,25880.50,163037
"Dec 23, 2025",25701.00,25822.50,25608.25,25812.25,25812.25,336346
"Dec 22, 2025",25635.25,25794.75,25628.00,25692.25,25692.25,367322
"Dec 19, 2025",25002.50,25160.00,24977.50,25132.79,25132.79,502611
"Dec 18, 2025",24744.00,25178.00,24675.50,25028.25,25028.25,111598
"Dec 17, 2025",25091.75,25266.00,24654.50,24668.75,24668.75,139991
"Dec 16, 2025",25101.25,25202.50,24828.00,25139.00,25139.00,247876
"Dec 15, 2025",25223.50,25410.00,25033.25,25093.25,25093.25,448073
"Dec 12, 2025",25701.00,25733.25,25118.00,25213.50,25213.50,760749
"Dec 11, 2025",25769.50,25861.50,25383.00,25713.50,25713.50,637723
"Dec 10, 2025",25680.00,25870.75,25528.75,25798.00,25798.00,556710
"Dec 09, 2025",25713.00,25735.75,25560.00,25699.75,25699.75,407387
"Dec 08, 2025",25750.00,25860.75,25564.75,25664.00,25664.00,473150
"Dec 05, 2025",25629.75,25868.00,25579.75,25732.00,25732.00,498264
"Dec 04, 2025",25650.25,25732.50,25488.75,25622.75,25622.75,509526
"Dec 03, 2025",25611.00,25685.25,25421.50,25657.50,25657.50,494194
"Dec 02, 2025",25411.50,25670.00,25324.75,25606.00,25606.00,561951
"Dec 01, 2025",25482.50,25546.00,25193.25,25391.25,25391.25,574734
"Nov 28, 2025",25313.00,25499.75,25285.75,25482.00,25482.00,199445
"Nov 26, 2025",25071.25,25376.00,25061.25,25302.25,25302.25,522196
"Nov 25, 2025",24966.25,25135.25,24602.00,25085.50,25085.50,629575
"Nov 24, 2025",24455.75,24993.50,24361.75,24948.25,24948.25,604148
"Nov 21, 2025",24110.00,24596.25,23904.50,24305.50,24305.50,918728
"Nov 20, 2025",24966.75,25310.00,24073.25,24131.50,24131.50,995836
"Nov 19, 2025",24551.00,24988.00,24445.00,24721.75,24721.75,770449
"Nov 18, 2025",24905.50,24959.50,24376.25,24595.75,24595.75,871074
"Nov 17, 2025",25142.25,25361.25,24731.75,24879.00,24879.00,738978
"Nov 14, 2025",25095.25,25293.25,24626.00,25094.00,25094.00,862322
"Nov 13, 2025",25624.00,25721.50,25002.50,25094.75,25094.75,775125
"Nov 12, 2025",25668.00,25830.00,25488.75,25623.75,25623.75,606259
"Nov 11, 2025",25722.25,25768.75,25478.50,25640.75,25640.75,537967
"Nov 10, 2025",25320.75,25760.50,25269.00,25714.50,25714.50,626203
"Nov 07, 2025",25314.75,25354.75,24709.25,25166.25,25166.25,765092
"Nov 06, 2025",25738.50,25822.25,25197.75,25244.25,25244.25,754444
